Index,PrequinBuyout,BurgissBuyout,BurgissVenture,Hedgefund,Secondaries,RealEstate
3/31/2001,,,,,,
6/30/2001,,,,,,
9/30/2001,,,,,,
12/31/2001,,,,,,
3/31/2002,,,,,,
6/30/2002,,,,,,
9/30/2002,,,,,,
12/31/2002,,,,,,
3/31/2003,,,,,,
6/30/2003,,,,,,
9/30/2003,,,,,,
12/31/2003,,,,,,
3/31/2004,,,,,,
6/30/2004,,,,,,
9/30/2004,,,,,,
12/31/2004,,,,,,
3/31/2005,,,,,,
6/30/2005,,,,,,
9/30/2005,,,,,,
12/31/2005,,,,,,
3/31/2006,,,,,,
6/30/2006,,,,,,
9/30/2006,,,,,,
12/31/2006,,,,,,
3/31/2007,,,,,,
6/30/2007,,,,,,
9/30/2007,,,,,,
12/31/2007,,,,,,
3/31/2008,,,,,,
6/30/2008,,,,,,
9/30/2008,,,,,,
12/31/2008,,,,,,
3/31/2009,,,,,,
6/30/2009,,,,,,
9/30/2009,,,,,,
12/31/2009,,,,,,
3/31/2010,,,,,,
6/30/2010,,,,,,
9/30/2010,,,,,,
12/31/2010,,,,,,
3/31/2011,,,,,,
6/30/2011,,,,,,
9/30/2011,,,,,,
12/31/2011,,,,,,
3/31/2012,,,,,,
6/30/2012,,,,,,
9/30/2012,,,,,,
12/31/2012,,,,,,
3/31/2013,,,,,,
6/30/2013,,,,,,
9/30/2013,,,,,,
12/31/2013,,,,,,
3/31/2014,,,,,,
6/30/2014,,,,,,
9/30/2014,,,,,,
12/31/2014,,,,,,
3/31/2015,,,,,,
6/30/2015,,,,,,
9/30/2015,,,,,,
12/31/2015,0.050389982,0.057095813,0.034586134,0.026538689,0.052226199,0.053741447
3/31/2016,0.049529101,0.056282897,0.037088861,0.026489522,0.051923661,0.053414568
6/30/2016,0.048661333,0.055448185,0.039296939,0.026103375,0.051599443,0.053046828
9/30/2016,0.048634038,0.055329029,0.039529385,0.02571905,0.051022855,0.052445865
12/31/2016,0.047761718,0.053552874,0.039158603,0.024981131,0.048936856,0.050274667
3/31/2017,0.047557932,0.05160474,0.036689596,0.024612669,0.048552108,0.049822238
6/30/2017,0.047218918,0.049597568,0.034465271,0.024166912,0.048206654,0.049405274
9/30/2017,0.046355274,0.049027654,0.032675813,0.022908031,0.047526919,0.048650046
12/31/2017,0.045140772,0.048241271,0.030905167,0.022929344,0.046211811,0.047317952
3/31/2018,0.044930049,0.047777384,0.030415973,0.022754949,0.045528361,0.046615533
6/30/2018,0.044697852,0.047151157,0.02995291,0.022465655,0.044661542,0.045720824
9/30/2018,0.044512695,0.047100011,0.028361576,0.022404348,0.04451705,0.045572295
12/31/2018,0.043733919,0.045272675,0.026578603,0.023214614,0.043619065,0.044670053
3/31/2019,0.043251889,0.045070072,0.025539393,0.023391788,0.043340012,0.044394282
6/30/2019,0.042356121,0.044210966,0.02445633,0.023332886,0.042918907,0.043950477
9/30/2019,0.041669957,0.044089918,0.024362458,0.023296915,0.042045434,0.043072593
12/31/2019,0.041039594,0.044031913,0.024279196,0.023160815,0.041580667,0.042600482
3/31/2020,0.041412151,0.044900798,0.024414602,0.024531608,0.042559107,0.043660596
6/30/2020,0.04290218,0.044324596,0.024731262,0.025022456,0.042296437,0.043405547
9/30/2020,0.042144736,0.044162546,0.02600863,0.025082531,0.042428322,0.043536031
12/31/2020,0.037524749,0.040146159,0.026036757,0.025701367,0.040951466,0.041983277
3/31/2021,0.037430472,0.039557454,0.02809768,0.025843517,0.040647414,0.041669718
6/30/2021,0.038919759,0.040505452,0.029941717,0.026154281,0.041897484,0.042956875
9/30/2021,0.039092466,0.040517102,0.030491763,0.02622101,0.042684222,0.043746621
12/31/2021,0.039508338,0.040601495,0.031074672,0.026307987,0.043157219,0.044225362
3/31/2022,0.040028011,0.040819915,0.033345921,0.026237947,0.043478672,0.044549703
6/30/2022,0.040227868,0.041320605,0.032537707,0.026226979,0.044025334,0.045109049
9/30/2022,0.040395143,0.041451689,0.032217061,0.025956229,0.044017688,0.045093618
12/31/2022,0.039966139,0.041117541,0.032008778,0.025931275,0.043173321,0.044239551
3/31/2023,0.039329201,0.040948969,0.030100669,0.025890738,0.04309818,0.044158379
6/30/2023,0.038727096,0.040817683,0.028145838,0.025770165,0.042998729,0.044050607
9/30/2023,0.037584758,0.039025655,0.026838802,0.025643752,0.042939636,0.0439404
12/31/2023,0.037736369,0.03834034,0.025520521,0.025325704,0.042800127,0.043771123
3/31/2024,0.036942204,0.037477076,0.02540007,0.025005634,0.040673213,0.041610351
6/30/2024,0.036143729,0.036501375,0.025286834,0.024145864,0.038487006,0.039368364
9/30/2024,0.034634384,0.034832748,0.022037141,0.023288153,0.036524575,0.037335765
12/31/2024,,,,0.02260523,,
